# _root_ In a strongly worded response summarizing a filing made in the same court yesterday , GE asserted that `` prosecutors have misstated the testimony of witnesses , distorted documents and ignored important facts . ''
#goldHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,9,17,17,0,21,21,21,17,30,24,22,24,25,30,30,28,21,30,33,31,17,17,
#predictedHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,17,17,17,0,21,21,21,17,21,24,22,24,25,22,30,28,22,30,33,31,17,17,
(5,3),-0.512482 # DEPENDENCYPART_ARC
(5,4),0.63917 # DEPENDENCYPART_ARC
(5,6),0.0543801 # DEPENDENCYPART_ARC
(5,7),-1.41736 # DEPENDENCYPART_ARC
(5,8),-1.1837 # DEPENDENCYPART_ARC
(5,9),-1.35181 # DEPENDENCYPART_ARC
(5,10),-1.44232 # DEPENDENCYPART_ARC
(6,1),-1.43256 # DEPENDENCYPART_ARC
(6,2),-2.33282 # DEPENDENCYPART_ARC
(6,4),-2.05548 # DEPENDENCYPART_ARC
(6,5),-0.668994 # DEPENDENCYPART_ARC
(6,7),-0.325214 # DEPENDENCYPART_ARC
(6,8),-0.281636 # DEPENDENCYPART_ARC
(6,9),-0.955976 # DEPENDENCYPART_ARC
(6,10),-1.3779 # DEPENDENCYPART_ARC
(6,13),-1.62352 # DEPENDENCYPART_ARC
(6,14),-1.05658 # DEPENDENCYPART_ARC
(6,15),-1.79005 # DEPENDENCYPART_ARC
(6,17),-2.38724 # DEPENDENCYPART_ARC
(6,21),-2.04097 # DEPENDENCYPART_ARC
(6,22),-1.98267 # DEPENDENCYPART_ARC
(6,30),-1.58043 # DEPENDENCYPART_ARC
(6,34),-1.55748 # DEPENDENCYPART_ARC
(6,35),-0.546426 # DEPENDENCYPART_ARC
(7,9),-1.10623 # DEPENDENCYPART_ARC
(8,2),-2.22018 # DEPENDENCYPART_ARC
(8,3),-1.69878 # DEPENDENCYPART_ARC
(8,4),-1.33383 # DEPENDENCYPART_ARC
(8,5),-1.4048 # DEPENDENCYPART_ARC
(8,6),-1.04678 # DEPENDENCYPART_ARC
(8,7),1.28469 # DEPENDENCYPART_ARC
(8,9),0.182579 # DEPENDENCYPART_ARC
(8,10),-0.891841 # DEPENDENCYPART_ARC
(8,11),-1.38137 # DEPENDENCYPART_ARC
(8,12),-1.35258 # DEPENDENCYPART_ARC
(8,13),-1.24787 # DEPENDENCYPART_ARC
(8,15),-1.72532 # DEPENDENCYPART_ARC
(8,16),-1.71306 # DEPENDENCYPART_ARC
(8,17),-2.1759 # DEPENDENCYPART_ARC
(8,19),-1.96464 # DEPENDENCYPART_ARC
(8,27),-1.76004 # DEPENDENCYPART_ARC
(9,1),-1.16376 # DEPENDENCYPART_ARC
(9,3),-1.89149 # DEPENDENCYPART_ARC
(9,5),-1.60746 # DEPENDENCYPART_ARC
(9,6),-2.13595 # DEPENDENCYPART_ARC
(9,7),-1.26033 # DEPENDENCYPART_ARC
(9,8),-0.00193368 # DEPENDENCYPART_ARC
(9,10),0.544572 # DEPENDENCYPART_ARC
(9,11),-1.45994 # DEPENDENCYPART_ARC
(9,12),-1.5304 # DEPENDENCYPART_ARC
(9,13),-1.48377 # DEPENDENCYPART_ARC
(9,14),-1.15707 # DEPENDENCYPART_ARC
(9,15),-1.50635 # DEPENDENCYPART_ARC
(9,16),-2.66357 # DEPENDENCYPART_ARC
(9,17),-2.0863 # DEPENDENCYPART_ARC
(9,21),-2.0996 # DEPENDENCYPART_ARC
(9,22),-1.97963 # DEPENDENCYPART_ARC
(9,28),-1.73969 # DEPENDENCYPART_ARC
(9,34),-1.18778 # DEPENDENCYPART_ARC
(10,8),-1.45221 # DEPENDENCYPART_ARC
(10,9),-0.415742 # DEPENDENCYPART_ARC
(10,11),-0.155226 # DEPENDENCYPART_ARC
(10,12),-0.766687 # DEPENDENCYPART_ARC
(10,13),-0.779903 # DEPENDENCYPART_ARC
(10,14),-1.26744 # DEPENDENCYPART_ARC
(10,15),-1.40026 # DEPENDENCYPART_ARC
(10,16),-2.44254 # DEPENDENCYPART_ARC
(11,12),-0.505094 # DEPENDENCYPART_ARC
(11,13),-1.20572 # DEPENDENCYPART_ARC
(12,11),0.142722 # DEPENDENCYPART_ARC
(12,13),-0.439017 # DEPENDENCYPART_ARC
(13,11),-0.273644 # DEPENDENCYPART_ARC
(13,12),0.619825 # DEPENDENCYPART_ARC
(13,14),-0.645412 # DEPENDENCYPART_ARC
(13,16),-1.99542 # DEPENDENCYPART_ARC
(14,2),-3.58829 # DEPENDENCYPART_ARC
(14,7),-2.96656 # DEPENDENCYPART_ARC
(14,11),-1.13025 # DEPENDENCYPART_ARC
(14,12),-0.340253 # DEPENDENCYPART_ARC
(14,13),1.14065 # DEPENDENCYPART_ARC
(14,15),0.109348 # DEPENDENCYPART_ARC
(14,16),-1.49117 # DEPENDENCYPART_ARC
(14,17),-1.97922 # DEPENDENCYPART_ARC
(14,19),-2.32083 # DEPENDENCYPART_ARC
(14,20),-2.15173 # DEPENDENCYPART_ARC
(14,21),-2.49156 # DEPENDENCYPART_ARC
(14,24),-1.84833 # DEPENDENCYPART_ARC
(14,27),-1.61438 # DEPENDENCYPART_ARC
(14,30),-1.39977 # DEPENDENCYPART_ARC
(14,35),-1.5399 # DEPENDENCYPART_ARC
(16,11),-1.35734 # DEPENDENCYPART_ARC
(16,12),-1.64261 # DEPENDENCYPART_ARC
(16,13),-1.23739 # DEPENDENCYPART_ARC
(16,14),-1.00959 # DEPENDENCYPART_ARC
(16,15),-0.14009 # DEPENDENCYPART_ARC
(16,17),-0.0929873 # DEPENDENCYPART_ARC
(16,18),-1.22045 # DEPENDENCYPART_ARC
(16,19),-1.55825 # DEPENDENCYPART_ARC
(16,20),-1.6111 # DEPENDENCYPART_ARC
(16,21),-1.78889 # DEPENDENCYPART_ARC
(16,22),-1.6492 # DEPENDENCYPART_ARC
(17,1),-1.24181 # DEPENDENCYPART_ARC
(17,2),-1.9743 # DEPENDENCYPART_ARC
(17,3),-1.66666 # DEPENDENCYPART_ARC
(17,4),-1.23658 # DEPENDENCYPART_ARC
(17,5),-2.18335 # DEPENDENCYPART_ARC
(17,6),-1.52576 # DEPENDENCYPART_ARC
(17,7),-1.66572 # DEPENDENCYPART_ARC
(17,8),-1.73643 # DEPENDENCYPART_ARC
(17,9),-1.32265 # DEPENDENCYPART_ARC
(17,10),-0.784695 # DEPENDENCYPART_ARC
(17,11),-1.72223 # DEPENDENCYPART_ARC
(17,12),-1.46844 # DEPENDENCYPART_ARC
(17,13),-1.54501 # DEPENDENCYPART_ARC
(17,14),-1.31908 # DEPENDENCYPART_ARC
(17,15),-0.0205895 # DEPENDENCYPART_ARC
(17,16),0.973051 # DEPENDENCYPART_ARC
(17,18),0.743428 # DEPENDENCYPART_ARC
(17,19),-0.668094 # DEPENDENCYPART_ARC
(17,20),-0.760482 # DEPENDENCYPART_ARC
(17,21),-0.448605 # DEPENDENCYPART_ARC
(17,22),-0.683262 # DEPENDENCYPART_ARC
(17,24),-1.50829 # DEPENDENCYPART_ARC
(17,25),-1.56724 # DEPENDENCYPART_ARC
(17,27),-1.31914 # DEPENDENCYPART_ARC
(17,28),-1.63237 # DEPENDENCYPART_ARC
(17,30),-1.14103 # DEPENDENCYPART_ARC
(17,31),-2.17397 # DEPENDENCYPART_ARC
(17,34),-1.13629 # DEPENDENCYPART_ARC
(17,35),-0.630832 # DEPENDENCYPART_ARC
(18,19),-0.00469148 # DEPENDENCYPART_ARC
(18,20),-0.78033 # DEPENDENCYPART_ARC
(18,21),-1.45617 # DEPENDENCYPART_ARC
(18,22),-1.74864 # DEPENDENCYPART_ARC
(20,11),-2.71489 # DEPENDENCYPART_ARC
(20,16),-1.21615 # DEPENDENCYPART_ARC
(20,17),-1.34487 # DEPENDENCYPART_ARC
(20,18),-0.862555 # DEPENDENCYPART_ARC
(20,19),0.347161 # DEPENDENCYPART_ARC
(20,21),-0.290906 # DEPENDENCYPART_ARC
(20,22),-1.2724 # DEPENDENCYPART_ARC
(20,24),-1.32171 # DEPENDENCYPART_ARC
(20,25),-1.41913 # DEPENDENCYPART_ARC
(21,1),-1.39108 # DEPENDENCYPART_ARC
(21,2),-2.11809 # DEPENDENCYPART_ARC
(21,3),-1.69367 # DEPENDENCYPART_ARC
(21,4),-2.22705 # DEPENDENCYPART_ARC
(21,5),-2.11014 # DEPENDENCYPART_ARC
(21,6),-2.41798 # DEPENDENCYPART_ARC
(21,8),-1.84628 # DEPENDENCYPART_ARC
(21,9),-2.29687 # DEPENDENCYPART_ARC
(21,10),-1.14955 # DEPENDENCYPART_ARC
(21,12),-1.68037 # DEPENDENCYPART_ARC
(21,14),-1.78821 # DEPENDENCYPART_ARC
(21,15),-1.42357 # DEPENDENCYPART_ARC
(21,16),-0.570347 # DEPENDENCYPART_ARC
(21,17),-1.65269 # DEPENDENCYPART_ARC
(21,18),-0.0291264 # DEPENDENCYPART_ARC
(21,19),-0.546797 # DEPENDENCYPART_ARC
(21,20),1.07165 # DEPENDENCYPART_ARC
(21,22),1.65072 # DEPENDENCYPART_ARC
(21,24),-0.789124 # DEPENDENCYPART_ARC
(21,25),-1.41607 # DEPENDENCYPART_ARC
(21,26),-1.41439 # DEPENDENCYPART_ARC
(21,27),-1.39918 # DEPENDENCYPART_ARC
(21,28),-1.94216 # DEPENDENCYPART_ARC
(21,29),-2.51096 # DEPENDENCYPART_ARC
(21,30),-0.871645 # DEPENDENCYPART_ARC
(21,33),-2.51028 # DEPENDENCYPART_ARC
(21,34),-1.24314 # DEPENDENCYPART_ARC
(21,35),-0.654579 # DEPENDENCYPART_ARC
(22,10),-2.33059 # DEPENDENCYPART_ARC
(22,15),-2.33298 # DEPENDENCYPART_ARC
(22,16),-1.88162 # DEPENDENCYPART_ARC
(22,18),-1.08872 # DEPENDENCYPART_ARC
(22,19),-1.50146 # DEPENDENCYPART_ARC
(22,20),-1.36341 # DEPENDENCYPART_ARC
(22,23),-0.0470261 # DEPENDENCYPART_ARC
(22,24),0.37179 # DEPENDENCYPART_ARC
(22,25),-0.916408 # DEPENDENCYPART_ARC
(22,26),-0.640693 # DEPENDENCYPART_ARC
(22,27),-1.00063 # DEPENDENCYPART_ARC
(22,28),-1.4947 # DEPENDENCYPART_ARC
(22,29),-2.1561 # DEPENDENCYPART_ARC
(22,30),-1.26363 # DEPENDENCYPART_ARC
(22,31),-2.23635 # DEPENDENCYPART_ARC
(22,33),-2.29621 # DEPENDENCYPART_ARC
(22,34),-1.7336 # DEPENDENCYPART_ARC
(22,35),-1.12722 # DEPENDENCYPART_ARC
(23,25),-1.31647 # DEPENDENCYPART_ARC
(24,19),-1.54449 # DEPENDENCYPART_ARC
(24,20),-1.63712 # DEPENDENCYPART_ARC
(24,22),-1.00376 # DEPENDENCYPART_ARC
(24,23),1.14648 # DEPENDENCYPART_ARC
(24,25),0.430065 # DEPENDENCYPART_ARC
(24,26),-1.04228 # DEPENDENCYPART_ARC
(24,27),-1.50598 # DEPENDENCYPART_ARC
(24,28),-1.5851 # DEPENDENCYPART_ARC
(24,29),-1.78538 # DEPENDENCYPART_ARC
(24,30),-1.26431 # DEPENDENCYPART_ARC
(24,31),-2.09407 # DEPENDENCYPART_ARC
(24,33),-1.57943 # DEPENDENCYPART_ARC
(25,23),-1.3292 # DEPENDENCYPART_ARC
(25,24),-0.397089 # DEPENDENCYPART_ARC
(25,26),0.75426 # DEPENDENCYPART_ARC
(25,29),-2.22282 # DEPENDENCYPART_ARC
(25,30),-2.19027 # DEPENDENCYPART_ARC
(25,33),-3.01629 # DEPENDENCYPART_ARC
(26,23),-1.45755 # DEPENDENCYPART_ARC
(26,24),-0.634004 # DEPENDENCYPART_ARC
(26,25),-0.0866668 # DEPENDENCYPART_ARC
(26,27),-0.246824 # DEPENDENCYPART_ARC
(26,28),-1.83593 # DEPENDENCYPART_ARC
(26,29),-1.70446 # DEPENDENCYPART_ARC
(26,30),-1.65912 # DEPENDENCYPART_ARC
(26,33),-1.73405 # DEPENDENCYPART_ARC
(28,10),-2.18383 # DEPENDENCYPART_ARC
(28,14),-1.61898 # DEPENDENCYPART_ARC
(28,17),-2.22549 # DEPENDENCYPART_ARC
(28,18),-1.78457 # DEPENDENCYPART_ARC
(28,20),-2.95411 # DEPENDENCYPART_ARC
(28,24),-2.54345 # DEPENDENCYPART_ARC
(28,25),-1.8716 # DEPENDENCYPART_ARC
(28,26),-2.14939 # DEPENDENCYPART_ARC
(28,27),0.0387444 # DEPENDENCYPART_ARC
(28,29),0.237864 # DEPENDENCYPART_ARC
(28,30),-1.29464 # DEPENDENCYPART_ARC
(28,31),-1.34943 # DEPENDENCYPART_ARC
(28,32),-1.74804 # DEPENDENCYPART_ARC
(28,33),-1.48563 # DEPENDENCYPART_ARC
(28,34),-1.42186 # DEPENDENCYPART_ARC
(28,35),-1.3722 # DEPENDENCYPART_ARC
(29,23),-2.07344 # DEPENDENCYPART_ARC
(29,24),-1.85162 # DEPENDENCYPART_ARC
(29,25),-1.34607 # DEPENDENCYPART_ARC
(29,26),-1.19976 # DEPENDENCYPART_ARC
(29,27),-0.701673 # DEPENDENCYPART_ARC
(29,28),1.02889 # DEPENDENCYPART_ARC
(29,31),-1.19105 # DEPENDENCYPART_ARC
(29,33),-1.70728 # DEPENDENCYPART_ARC
(30,1),-1.27574 # DEPENDENCYPART_ARC
(30,3),-1.28266 # DEPENDENCYPART_ARC
(30,4),-2.32091 # DEPENDENCYPART_ARC
(30,5),-1.31616 # DEPENDENCYPART_ARC
(30,6),-1.98206 # DEPENDENCYPART_ARC
(30,8),-1.34154 # DEPENDENCYPART_ARC
(30,9),-2.70743 # DEPENDENCYPART_ARC
(30,10),-1.33288 # DEPENDENCYPART_ARC
(30,11),-3.21114 # DEPENDENCYPART_ARC
(30,12),-2.40953 # DEPENDENCYPART_ARC
(30,13),-1.95658 # DEPENDENCYPART_ARC
(30,14),-1.90623 # DEPENDENCYPART_ARC
(30,15),-2.16 # DEPENDENCYPART_ARC
(30,16),-1.23136 # DEPENDENCYPART_ARC
(30,17),-1.60314 # DEPENDENCYPART_ARC
(30,18),-0.763753 # DEPENDENCYPART_ARC
(30,19),-1.07311 # DEPENDENCYPART_ARC
(30,20),-1.08006 # DEPENDENCYPART_ARC
(30,21),-1.56547 # DEPENDENCYPART_ARC
(30,22),-0.781877 # DEPENDENCYPART_ARC
(30,23),-2.21221 # DEPENDENCYPART_ARC
(30,24),-1.59927 # DEPENDENCYPART_ARC
(30,25),-1.35822 # DEPENDENCYPART_ARC
(30,26),-1.05195 # DEPENDENCYPART_ARC
(30,27),-0.693495 # DEPENDENCYPART_ARC
(30,28),0.736611 # DEPENDENCYPART_ARC
(30,29),0.238123 # DEPENDENCYPART_ARC
(30,31),1.63701 # DEPENDENCYPART_ARC
(30,32),-0.767168 # DEPENDENCYPART_ARC
(30,33),-0.304033 # DEPENDENCYPART_ARC
(30,34),-0.777433 # DEPENDENCYPART_ARC
(30,35),-0.96939 # DEPENDENCYPART_ARC
(31,18),-2.8337 # DEPENDENCYPART_ARC
(31,29),-2.11712 # DEPENDENCYPART_ARC
(31,32),-0.330716 # DEPENDENCYPART_ARC
(31,33),-0.493596 # DEPENDENCYPART_ARC
(31,34),-1.03761 # DEPENDENCYPART_ARC
(31,35),-1.41844 # DEPENDENCYPART_ARC
(32,29),-0.894246 # DEPENDENCYPART_ARC
(32,33),-0.516578 # DEPENDENCYPART_ARC
(32,35),-1.17695 # DEPENDENCYPART_ARC
(33,28),-1.20229 # DEPENDENCYPART_ARC
(33,29),-1.26149 # DEPENDENCYPART_ARC
(33,31),-0.603668 # DEPENDENCYPART_ARC
(33,32),1.47986 # DEPENDENCYPART_ARC
(33,34),-0.354281 # DEPENDENCYPART_ARC
(33,35),-1.22622 # DEPENDENCYPART_ARC
(34,31),-1.07066 # DEPENDENCYPART_ARC
(34,32),-1.0925 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0283229 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0161244 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.116522 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0202543 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.123937 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.123929 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,30),-0.0709723 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.116364 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.004788 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.100195 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00528619 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.100033 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.101005 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.100033 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.10351 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.100033 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.100033 # DEPENDENCYPART_SIBL
(0,2),(0,30),-0.0527121 # DEPENDENCYPART_SIBL
(0,2),(0,31),-0.100033 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.115082 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.017268 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.11492 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.110811 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.11492 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.112089 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.11492 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.11492 # DEPENDENCYPART_SIBL
(0,3),(0,30),-0.0605681 # DEPENDENCYPART_SIBL
(0,3),(0,31),-0.122393 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0723325 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.225457 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.221897 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.225457 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.224212 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.225457 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.225457 # DEPENDENCYPART_SIBL
(0,4),(0,30),-0.182076 # DEPENDENCYPART_SIBL
(0,4),(0,31),-0.225464 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.122354 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.128644 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.122354 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.126875 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.122354 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.122354 # DEPENDENCYPART_SIBL
(0,5),(0,30),-0.10513 # DEPENDENCYPART_SIBL
(0,5),(0,31),-0.122355 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.221897 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.225457 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.224212 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.225457 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.225457 # DEPENDENCYPART_SIBL
(0,6),(0,30),-0.182076 # DEPENDENCYPART_SIBL
(0,6),(0,31),-0.225464 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.214476 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.213691 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.214476 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.214476 # DEPENDENCYPART_SIBL
(0,9),(0,30),-0.181325 # DEPENDENCYPART_SIBL
(0,9),(0,31),-0.214483 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.224217 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.225462 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.225462 # DEPENDENCYPART_SIBL
(0,17),(0,30),-0.182078 # DEPENDENCYPART_SIBL
(0,17),(0,31),-0.225469 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.228176 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.228176 # DEPENDENCYPART_SIBL
(0,21),(0,30),-0.187727 # DEPENDENCYPART_SIBL
(0,21),(0,31),-0.228183 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.225457 # DEPENDENCYPART_SIBL
(0,22),(0,30),-0.182076 # DEPENDENCYPART_SIBL
(0,22),(0,31),-0.225464 # DEPENDENCYPART_SIBL
(0,28),(0,30),-0.182076 # DEPENDENCYPART_SIBL
(0,28),(0,31),-0.225516 # DEPENDENCYPART_SIBL
(0,30),(0,31),-0.152851 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00141394 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0149493 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0251894 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0149493 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0251094 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0384495 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0533082 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0384495 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0553887 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0585965 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0456362 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0619613 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0272292 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.118329 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0619613 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0407408 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0260274 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00806985 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00780313 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0613026 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0601292 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0613026 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0515679 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0433241 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00255672 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0433245 # DEPENDENCYPART_SIBL
(3,2),(3,8),8.44019e-05 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0328317 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0304449 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0294617 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0134994 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0365773 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0294617 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0100536 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0104968 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0303741 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00589414 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00343969 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0182029 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0371108 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0169474 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0101752 # DEPENDENCYPART_SIBL
(4,1),(4,34),0.0418348 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0477732 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0322793 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00641785 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0394152 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0025795 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0531079 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0310054 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0575914 # DEPENDENCYPART_SIBL
(4,2),(4,34),0.0116904 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0248885 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0259886 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.012488 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0446877 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0276805 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0154152 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0187632 # DEPENDENCYPART_SIBL
(4,3),(4,34),0.0650922 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00698531 # DEPENDENCYPART_SIBL
